player,scores
Go By Majority/10,"[11174, 11190, 11215, 10742, 10753, 10764, 11173, 10818, 10755, 11142, 10767, 11161, 11203, 11181, 11180, 11152, 10826, 10753, 11159, 11174, 11147, 11186, 11174, 11152, 10799, 11169, 11163, 10776, 11125, 11161, 11170, 10750, 10794, 11186, 11148, 11206, 10773, 10789, 10772, 11220, 10764, 11161, 10801, 10753, 10777, 11153, 11148, 10790, 10764, 11176]"
Cooperator,"[11529, 11463, 11526, 11478, 11562, 11553, 11544, 11532, 11547, 11535, 11544, 11508, 11526, 11544, 11526, 11559, 11526, 11502, 11517, 11541, 11520, 11490, 11505, 11553, 11523, 11562, 11538, 11514, 11529, 11511, 11520, 11520, 11520, 11538, 11535, 11529, 11529, 11493, 11490, 11538, 11523, 11538, 11547, 11514, 11475, 11490, 11544, 11487, 11481, 11532]"
Risky QLearner,"[12273, 12204, 12247, 12667, 12170, 12272, 12471, 12035, 12110, 12341, 12376, 12593, 12070, 12959, 12191, 12085, 12275, 12152, 12325, 12601, 13035, 12059, 11985, 12341, 12346, 12173, 12485, 12189, 12223, 12309, 12135, 12061, 12573, 11949, 12073, 12053, 12360, 12293, 12396, 12051, 12085, 12108, 12158, 12291, 12098, 12221, 12393, 12284, 12192, 12119]"
Arrogant QLearner,"[12433, 12285, 12289, 12606, 11998, 12620, 11984, 12603, 12175, 12282, 12791, 12326, 12371, 12231, 12257, 12033, 12246, 12312, 12141, 12161, 12406, 12690, 12092, 12625, 12072, 12192, 12091, 12443, 12469, 12234, 12202, 12671, 12245, 12542, 12814, 12150, 12118, 12181, 12173, 12136, 12111, 12182, 11932, 12044, 12018, 12128, 12169, 12770, 12190, 12237]"
Cautious QLearner,"[12235, 12280, 12223, 12246, 12258, 12068, 12294, 12279, 12191, 12296, 12147, 12827, 12304, 12690, 12187, 12081, 12660, 12303, 12185, 12191, 12063, 12552, 12108, 12181, 12412, 11995, 12732, 12211, 12205, 12618, 12378, 12306, 12385, 12020, 12681, 12298, 11891, 12177, 12641, 12170, 12567, 11963, 12311, 12735, 12598, 12252, 13071, 12551, 12356, 12154]"
Hesitant QLearner,"[12687, 12802, 12297, 12256, 12220, 12959, 12385, 12284, 12401, 12427, 12207, 12489, 12543, 12673, 12314, 12396, 12819, 12844, 12208, 13002, 12604, 12422, 12137, 12237, 12415, 12338, 12331, 12377, 12559, 12230, 12856, 12425, 12335, 11997, 12597, 12461, 12434, 12252, 12264, 12624, 12288, 12372, 12226, 12303, 12972, 12195, 12519, 12583, 12244, 12381]"
Random,"[12597, 12445, 13108, 13543, 12882, 12387, 12617, 12903, 11945, 12919, 13672, 12597, 13754, 12941, 12824, 12024, 12056, 12655, 13140, 13209, 13613, 12349, 12552, 12896, 12507, 12959, 12353, 12595, 12924, 13799, 13293, 13489, 13051, 13326, 13289, 13020, 12082, 12855, 13161, 12380, 13574, 11883, 12849, 12219, 12396, 13157, 12984, 12875, 12692, 12937]"
Average Copier,"[13266, 13835, 14508, 12424, 12138, 12139, 12418, 13332, 12164, 12945, 13309, 13317, 13829, 14105, 12875, 12184, 11723, 14116, 11745, 14540, 13451, 12460, 12078, 12452, 13343, 12035, 12911, 12542, 13326, 13395, 13810, 13726, 13325, 12895, 12552, 13339, 12012, 12580, 12072, 12903, 11426, 13726, 12119, 12159, 12183, 13643, 12846, 12134, 14098, 12994]"
Anti Tit For Tat,"[13213, 13134, 13149, 13075, 13167, 13116, 13145, 13101, 13204, 13139, 13121, 13109, 13112, 13178, 13198, 13245, 13125, 13212, 13103, 13072, 13127, 13165, 13118, 13174, 13131, 13079, 13209, 13199, 13159, 13188, 13140, 13146, 13146, 13155, 13082, 13198, 13128, 13172, 13109, 13147, 13141, 13074, 13141, 13142, 13123, 13104, 13118, 13169, 13122, 13197]"
Defector,"[15772, 15712, 15768, 15776, 15736, 15736, 15768, 15804, 15736, 15728, 15792, 15728, 15724, 15720, 15796, 15864, 15704, 15788, 15736, 15744, 15736, 15760, 15744, 15760, 15776, 15788, 15732, 15808, 15744, 15752, 15772, 15740, 15792, 15768, 15720, 15784, 15756, 15804, 15752, 15840, 15744, 15800, 15792, 15768, 15760, 15744, 15748, 15752, 15764, 15760]"
